date,year,month,month_name,day,date_key
2018-04-01,2018,4,April,1,237
2017-04-19,2017,4,April,19,238
2017-08-17,2017,8,August,17,239
2018-08-16,2018,8,August,16,240
2018-07-01,2018,7,July,1,241
2018-08-24,2018,8,August,24,242
2018-08-11,2018,8,August,11,243
2018-07-11,2018,7,July,11,244
2018-07-31,2018,7,July,31,245
2017-10-11,2017,10,October,11,246
2017-11-25,2017,11,November,25,247
2017-05-08,2017,5,May,8,248
2018-08-14,2018,8,August,14,249
2017-12-19,2017,12,December,19,250
2017-10-25,2017,10,October,25,251
2017-10-24,2017,10,October,24,252
2017-11-09,2017,11,November,9,253
2017-02-23,2017,2,February,23,254
2017-06-17,2017,6,June,17,255
2017-05-29,2017,5,May,29,256
2018-05-24,2018,5,May,24,257
2018-01-29,2018,1,January,29,258
2017-03-22,2017,3,March,22,259
2017-11-06,2017,11,November,6,260
2017-12-16,2017,12,December,16,261
2018-06-23,2018,6,June,23,262
2018-08-06,2018,8,August,6,263
2017-06-02,2017,6,June,2,264
2018-06-27,2018,6,June,27,265
2017-04-14,2017,4,April,14,266
2017-09-05,2017,9,September,5,267
2017-11-19,2017,11,November,19,268
2017-05-10,2017,5,May,10,269
2018-03-19,2018,3,March,19,270
2018-03-04,2018,3,March,4,271
2018-08-12,2018,8,August,12,272
2017-10-18,2017,10,October,18,273
2017-08-28,2017,8,August,28,274
2017-05-11,2017,5,May,11,275
2017-12-27,2017,12,December,27,276
2017-06-08,2017,6,June,8,277
2017-10-17,2017,10,October,17,278
2017-09-08,2017,9,September,8,279
2017-04-25,2017,4,April,25,280
2018-03-08,2018,3,March,8,281
2017-10-06,2017,10,October,6,282
2018-05-19,2018,5,May,19,283
2017-08-05,2017,8,August,5,284
2017-10-31,2017,10,October,31,285
2018-06-19,2018,6,June,19,286
2018-03-16,2018,3,March,16,287
2017-10-12,2017,10,October,12,288
2017-04-29,2017,4,April,29,289
2017-10-09,2017,10,October,9,290
2018-01-26,2018,1,January,26,291
2017-01-27,2017,1,January,27,292
2017-04-03,2017,4,April,3,293
2017-09-14,2017,9,September,14,294
2017-02-17,2017,2,February,17,295
2017-01-25,2017,1,January,25,296
2018-06-15,2018,6,June,15,297
2017-01-14,2017,1,January,14,298
2018-05-20,2018,5,May,20,299
2017-05-21,2017,5,May,21,300
2018-03-14,2018,3,March,14,301
2018-01-17,2018,1,January,17,302
2018-07-20,2018,7,July,20,303
2017-12-14,2017,12,December,14,304
2018-04-02,2018,4,April,2,305
2018-07-04,2018,7,July,4,306
2017-04-13,2017,4,April,13,307
2018-04-30,2018,4,April,30,308
2017-05-03,2017,5,May,3,309
2017-11-20,2017,11,November,20,310
2017-12-23,2017,12,December,23,311
2017-12-03,2017,12,December,3,312
2017-11-02,2017,11,November,2,313
2017-06-23,2017,6,June,23,314
2018-05-10,2018,5,May,10,315
2017-02-13,2017,2,February,13,316
2017-03-19,2017,3,March,19,317
2017-11-03,2017,11,November,3,318
2018-05-06,2018,5,May,6,319
2018-05-03,2018,5,May,3,320
2018-01-01,2018,1,January,1,321
2017-02-07,2017,2,February,7,322
2017-03-23,2017,3,March,23,323
2017-02-11,2017,2,February,11,324
2018-08-27,2018,8,August,27,325
2017-02-06,2017,2,February,6,326
2018-05-18,2018,5,May,18,327
2017-06-26,2017,6,June,26,328
